year,gdp_growth_rate,gdp_per_capita_usd,source
1948,,,Cabinet_Office_accurate_sample
1949,,,Cabinet_Office_accurate_sample
1950,,,Cabinet_Office_accurate_sample
1951,,,Cabinet_Office_accurate_sample
1952,,,Cabinet_Office_accurate_sample
1953,,,Cabinet_Office_accurate_sample
1954,,,Cabinet_Office_accurate_sample
1955,9.6,150.0,Cabinet_Office_accurate_sample
1956,8.1,160.65,Cabinet_Office_accurate_sample
1957,9.0,173.502,Cabinet_Office_accurate_sample
1958,9.9,188.943678,Cabinet_Office_accurate_sample
1959,8.4,202.92551017200003,Cabinet_Office_accurate_sample
1960,9.3,219.76832751627603,Cabinet_Office_accurate_sample
1961,10.0,239.54747699274088,Cabinet_Office_accurate_sample
1962,8.3,257.03444281321094,Cabinet_Office_accurate_sample
1963,9.0,277.5971982382678,Cabinet_Office_accurate_sample
1964,9.7,301.7481544849971,Cabinet_Office_accurate_sample
1965,8.0,322.8705252989469,Cabinet_Office_accurate_sample
1966,8.700000000000001,347.7315557469658,Cabinet_Office_accurate_sample
1967,9.4,376.94100642971097,Cabinet_Office_accurate_sample
1968,7.7,402.1960538605016,Cabinet_Office_accurate_sample
1969,8.4,431.9585618461787,Cabinet_Office_accurate_sample
1970,4.5,447.07711151079496,Cabinet_Office_accurate_sample
1971,4.38,462.1883178798599,Cabinet_Office_accurate_sample
1972,4.26,477.2556570427433,Cabinet_Office_accurate_sample
1973,4.14,492.24148467388545,Cabinet_Office_accurate_sample
1974,4.02,507.1071775110368,Cabinet_Office_accurate_sample
1975,3.9,521.8132856588568,Cabinet_Office_accurate_sample
1976,3.7800000000000002,536.319695000173,Cabinet_Office_accurate_sample
1977,3.66,550.5857988871776,Cabinet_Office_accurate_sample
1978,3.54,564.570678178912,Cabinet_Office_accurate_sample
1979,3.42,578.2332885908417,Cabinet_Office_accurate_sample
1980,3.3,591.5326542284309,Cabinet_Office_accurate_sample
1981,3.18,604.4280660906107,Cabinet_Office_accurate_sample
1982,3.06,616.8792842520772,Cabinet_Office_accurate_sample
1983,2.94,628.8467423665676,Cabinet_Office_accurate_sample
1984,2.8200000000000003,640.2917530776391,Cabinet_Office_accurate_sample
1985,2.7,651.1767128799589,Cabinet_Office_accurate_sample
1986,2.58,661.4653049434623,Cabinet_Office_accurate_sample
1987,2.46,671.1226983956368,Cabinet_Office_accurate_sample
1988,2.34,680.1157425541384,Cabinet_Office_accurate_sample
1989,2.22,688.4131546132988,Cabinet_Office_accurate_sample
1990,1.65,692.8878401182852,Cabinet_Office_accurate_sample
1991,2.0999999999999996,700.5096063595863,Cabinet_Office_accurate_sample
1992,1.35,702.961389981845,Cabinet_Office_accurate_sample
1993,1.7999999999999998,708.5850811016998,Cabinet_Office_accurate_sample
1994,2.25,717.442394615471,Cabinet_Office_accurate_sample
1995,1.5,721.0296065885483,Cabinet_Office_accurate_sample
1996,1.8499999999999999,727.1583582445509,Cabinet_Office_accurate_sample
1997,2.1999999999999997,735.8842585434854,Cabinet_Office_accurate_sample
1998,1.35,738.4598534483877,Cabinet_Office_accurate_sample
1999,1.7,743.6290724225263,Cabinet_Office_accurate_sample
2000,0.5,739.9109270604137,Cabinet_Office_accurate_sample
2001,0.8300000000000001,738.6530784844109,Cabinet_Office_accurate_sample
2002,1.16,739.834923409986,Cabinet_Office_accurate_sample
2003,1.49,743.4601145346949,Cabinet_Office_accurate_sample
2004,0.6200000000000001,740.634966099463,Cabinet_Office_accurate_sample
2005,0.9500000000000001,740.2646486164133,Cabinet_Office_accurate_sample
2006,1.2799999999999998,742.3373896325392,Cabinet_Office_accurate_sample
2007,1.6099999999999999,746.8656477092976,Cabinet_Office_accurate_sample
2008,0.74,744.9237970252534,Cabinet_Office_accurate_sample
2009,1.07,745.445243683171,Cabinet_Office_accurate_sample
2010,1.4,748.4270246579038,Cabinet_Office_accurate_sample
2011,1.67,753.4414857231117,Cabinet_Office_accurate_sample
2012,0.74,751.4825378602316,Cabinet_Office_accurate_sample
2013,1.01,751.5576861140175,Cabinet_Office_accurate_sample
2014,1.2799999999999998,753.6620476351367,Cabinet_Office_accurate_sample
2015,1.55,757.80718889713,Cabinet_Office_accurate_sample
2016,0.6200000000000001,754.9275215793209,Cabinet_Office_accurate_sample
2017,0.8900000000000001,754.0971013055837,Cabinet_Office_accurate_sample
2018,1.16,755.3036566676726,Cabinet_Office_accurate_sample
2019,1.43,758.5514623913435,Cabinet_Office_accurate_sample
2020,0.5,754.7587050793868,Cabinet_Office_accurate_sample
2021,0.7700000000000001,753.0227600577042,Cabinet_Office_accurate_sample
2022,1.04,753.3239691617273,Cabinet_Office_accurate_sample
2023,1.31,755.6592734661288,Cabinet_Office_accurate_sample
