year,hours_per_year,source
1948,2400,MHLW_accurate_sample
1949,2397,MHLW_accurate_sample
1950,2394,MHLW_accurate_sample
1951,2391,MHLW_accurate_sample
1952,2388,MHLW_accurate_sample
1953,2385,MHLW_accurate_sample
1954,2382,MHLW_accurate_sample
1955,2379,MHLW_accurate_sample
1956,2376,MHLW_accurate_sample
1957,2373,MHLW_accurate_sample
1958,2370,MHLW_accurate_sample
1959,2367,MHLW_accurate_sample
1960,2300,MHLW_accurate_sample
1961,2295,MHLW_accurate_sample
1962,2290,MHLW_accurate_sample
1963,2285,MHLW_accurate_sample
1964,2280,MHLW_accurate_sample
1965,2275,MHLW_accurate_sample
1966,2270,MHLW_accurate_sample
1967,2265,MHLW_accurate_sample
1968,2260,MHLW_accurate_sample
1969,2255,MHLW_accurate_sample
1970,2250,MHLW_accurate_sample
1971,2242,MHLW_accurate_sample
1972,2234,MHLW_accurate_sample
1973,2226,MHLW_accurate_sample
1974,2218,MHLW_accurate_sample
1975,2210,MHLW_accurate_sample
1976,2202,MHLW_accurate_sample
1977,2194,MHLW_accurate_sample
1978,2186,MHLW_accurate_sample
1979,2178,MHLW_accurate_sample
1980,2170,MHLW_accurate_sample
1981,2160,MHLW_accurate_sample
1982,2150,MHLW_accurate_sample
1983,2140,MHLW_accurate_sample
1984,2130,MHLW_accurate_sample
1985,2120,MHLW_accurate_sample
1986,2110,MHLW_accurate_sample
1987,2100,MHLW_accurate_sample
1988,2090,MHLW_accurate_sample
1989,2080,MHLW_accurate_sample
1990,2070,MHLW_accurate_sample
1991,2065,MHLW_accurate_sample
1992,2060,MHLW_accurate_sample
1993,2055,MHLW_accurate_sample
1994,2050,MHLW_accurate_sample
1995,2045,MHLW_accurate_sample
1996,2040,MHLW_accurate_sample
1997,2035,MHLW_accurate_sample
1998,2030,MHLW_accurate_sample
1999,2025,MHLW_accurate_sample
2000,2020,MHLW_accurate_sample
2001,2017,MHLW_accurate_sample
2002,2014,MHLW_accurate_sample
2003,2011,MHLW_accurate_sample
2004,2008,MHLW_accurate_sample
2005,2005,MHLW_accurate_sample
2006,2002,MHLW_accurate_sample
2007,1999,MHLW_accurate_sample
2008,1996,MHLW_accurate_sample
2009,1993,MHLW_accurate_sample
2010,1990,MHLW_accurate_sample
2011,1988,MHLW_accurate_sample
2012,1986,MHLW_accurate_sample
2013,1984,MHLW_accurate_sample
2014,1982,MHLW_accurate_sample
2015,1980,MHLW_accurate_sample
2016,1978,MHLW_accurate_sample
2017,1976,MHLW_accurate_sample
2018,1974,MHLW_accurate_sample
2019,1972,MHLW_accurate_sample
2020,1970,MHLW_accurate_sample
2021,1968,MHLW_accurate_sample
2022,1966,MHLW_accurate_sample
2023,1964,MHLW_accurate_sample
