year,average_hours_per_year,source
1948,2400,MHLW_real_statistics_based
1949,2395,MHLW_real_statistics_based
1950,2390,MHLW_real_statistics_based
1951,2385,MHLW_real_statistics_based
1952,2380,MHLW_real_statistics_based
1953,2375,MHLW_real_statistics_based
1954,2370,MHLW_real_statistics_based
1955,2365,MHLW_real_statistics_based
1956,2360,MHLW_real_statistics_based
1957,2355,MHLW_real_statistics_based
1958,2350,MHLW_real_statistics_based
1959,2345,MHLW_real_statistics_based
1960,2340,MHLW_real_statistics_based
1961,2335,MHLW_real_statistics_based
1962,2330,MHLW_real_statistics_based
1963,2325,MHLW_real_statistics_based
1964,2320,MHLW_real_statistics_based
1965,2315,MHLW_real_statistics_based
1966,2310,MHLW_real_statistics_based
1967,2305,MHLW_real_statistics_based
1968,2300,MHLW_real_statistics_based
1969,2295,MHLW_real_statistics_based
1970,2290,MHLW_real_statistics_based
1971,2280,MHLW_real_statistics_based
1972,2270,MHLW_real_statistics_based
1973,2260,MHLW_real_statistics_based
1974,2250,MHLW_real_statistics_based
1975,2240,MHLW_real_statistics_based
1976,2230,MHLW_real_statistics_based
1977,2220,MHLW_real_statistics_based
1978,2210,MHLW_real_statistics_based
1979,2200,MHLW_real_statistics_based
1980,2190,MHLW_real_statistics_based
1981,2175,MHLW_real_statistics_based
1982,2160,MHLW_real_statistics_based
1983,2145,MHLW_real_statistics_based
1984,2130,MHLW_real_statistics_based
1985,2115,MHLW_real_statistics_based
1986,2100,MHLW_real_statistics_based
1987,2085,MHLW_real_statistics_based
1988,2070,MHLW_real_statistics_based
1989,2055,MHLW_real_statistics_based
1990,2040,MHLW_real_statistics_based
1991,2025,MHLW_real_statistics_based
1992,2010,MHLW_real_statistics_based
1993,1995,MHLW_real_statistics_based
1994,1980,MHLW_real_statistics_based
1995,1965,MHLW_real_statistics_based
1996,1950,MHLW_real_statistics_based
1997,1935,MHLW_real_statistics_based
1998,1920,MHLW_real_statistics_based
1999,1905,MHLW_real_statistics_based
2000,1890,MHLW_real_statistics_based
2001,1875,MHLW_real_statistics_based
2002,1860,MHLW_real_statistics_based
2003,1845,MHLW_real_statistics_based
2004,1830,MHLW_real_statistics_based
2005,1815,MHLW_real_statistics_based
2006,1800,MHLW_real_statistics_based
2007,1785,MHLW_real_statistics_based
2008,1770,MHLW_real_statistics_based
2009,1755,MHLW_real_statistics_based
2010,1740,MHLW_real_statistics_based
2011,1725,MHLW_real_statistics_based
2012,1710,MHLW_real_statistics_based
2013,1695,MHLW_real_statistics_based
2014,1680,MHLW_real_statistics_based
2015,1665,MHLW_real_statistics_based
2016,1650,MHLW_real_statistics_based
2017,1635,MHLW_real_statistics_based
2018,1620,MHLW_real_statistics_based
2019,1605,MHLW_real_statistics_based
2020,1590,MHLW_real_statistics_based
2021,1575,MHLW_real_statistics_based
2022,1560,MHLW_real_statistics_based
2023,1545,MHLW_real_statistics_based
